order_id,user_id,age,city,order_time,day_type,cuisine,meal_type,restaurant_type,order_value,discount_applied,delivery_fee,time_taken_to_order,rating_given,is_repeat_order,mood,hunger_level,company,rainy_weather
44791,4669,44,Mumbai,Night,Weekend,Chinese,Dinner,Budget,963,No,21,6,1,No,Happy,High,Family,No
44792,3581,30,Delhi,Morning,Weekday,South Indian,Breakfast,Mid-range,857,No,92,4,5,Yes,Celebrating,High,Partner,No
44793,3474,21,Delhi,Night,Weekend,Desserts,Breakfast,Premium,732,No,90,10,1,Yes,Happy,Low,Partner,No
44794,4741,38,Hyderabad,Night,Weekday,North Indian,Lunch,Premium,350,No,25,11,2,No,Celebrating,Medium,Alone,No
44795,2065,26,Bangalore,Evening,Weekday,Desserts,Dinner,Mid-range,738,Yes,75,4,2,No,Happy,Medium,Family,Yes
44796,2333,44,Hyderabad,Morning,Weekend,South Indian,Breakfast,Budget,533,Yes,60,8,3,Yes,Lazy,Low,Partner,Yes
44797,3182,34,Chandigarh,Evening,Weekday,North Indian,Breakfast,Mid-range,185,Yes,57,4,2,No,Happy,Medium,Friends,Yes
44798,3415,40,Bangalore,Morning,Weekend,North Indian,Lunch,Mid-range,852,Yes,29,5,5,No,Celebrating,Low,Family,Yes
44799,2411,25,Delhi,Afternoon,Weekend,Biryani,Breakfast,Mid-range,354,No,22,6,1,Yes,Celebrating,Medium,Alone,No
44800,4671,26,Delhi,Morning,Weekday,North Indian,Lunch,Budget,270,No,49,10,3,No,Lazy,Low,Family,Yes
44801,1540,28,Hyderabad,Afternoon,Weekend,Fast Food,Dinner,Premium,350,No,43,6,1,Yes,Lazy,Low,Family,Yes
44802,3204,37,Mumbai,Evening,Weekend,North Indian,Snacks,Premium,743,Yes,86,8,3,No,Lazy,High,Partner,Yes
44803,3009,21,Pune,Night,Weekend,South Indian,Lunch,Mid-range,202,Yes,85,12,4,No,Lazy,Medium,Family,Yes
44804,3278,25,Bangalore,Afternoon,Weekday,South Indian,Snacks,Premium,675,Yes,56,11,2,Yes,Celebrating,High,Alone,No
44805,2146,30,Hyderabad,Afternoon,Weekday,Biryani,Lunch,Budget,472,No,82,2,5,Yes,Celebrating,Low,Family,Yes
44806,1143,36,Bangalore,Evening,Weekend,Desserts,Breakfast,Mid-range,590,No,79,3,1,Yes,Celebrating,High,Friends,No
44807,3236,29,Mumbai,Night,Weekday,Desserts,Dinner,Mid-range,131,No,97,6,5,No,Happy,High,Family,Yes
44808,2501,28,Chandigarh,Afternoon,Weekday,Desserts,Breakfast,Premium,116,Yes,77,9,4,Yes,Celebrating,Medium,Alone,No
44809,3129,22,Mumbai,Night,Weekday,Chinese,Breakfast,Premium,775,No,23,8,4,No,Lazy,Low,Alone,Yes
44810,3549,40,Delhi,Afternoon,Weekend,Chinese,Dinner,Premium,212,Yes,37,9,5,Yes,Lazy,High,Partner,Yes
44811,4727,20,Chandigarh,Evening,Weekend,Desserts,Dinner,Premium,147,No,90,9,3,No,Happy,Low,Family,No
44812,1394,40,Mumbai,Morning,Weekday,North Indian,Dinner,Budget,368,Yes,44,6,4,No,Stressed,High,Alone,Yes
44813,3822,25,Pune,Night,Weekday,Desserts,Snacks,Premium,512,No,68,13,1,No,Happy,Medium,Friends,Yes
44814,4298,36,Delhi,Evening,Weekday,Desserts,Snacks,Mid-range,755,Yes,37,11,2,Yes,Lazy,High,Family,Yes
44815,1490,24,Hyderabad,Night,Weekday,North Indian,Snacks,Budget,395,No,80,11,5,No,Happy,Medium,Family,No
44816,2016,31,Mumbai,Night,Weekday,Fast Food,Snacks,Budget,200,Yes,98,10,2,Yes,Celebrating,Low,Friends,Yes
44817,2914,41,Chandigarh,Afternoon,Weekday,South Indian,Breakfast,Premium,501,No,43,3,3,Yes,Lazy,High,Family,Yes
44818,4416,40,Delhi,Night,Weekday,South Indian,Lunch,Premium,404,No,64,7,3,No,Lazy,Low,Alone,Yes
44819,3002,32,Pune,Evening,Weekend,Desserts,Breakfast,Premium,698,Yes,41,12,5,Yes,Celebrating,Medium,Friends,Yes
44820,4213,27,Pune,Evening,Weekend,Biryani,Snacks,Budget,809,No,87,5,3,Yes,Lazy,High,Friends,Yes
44821,3075,19,Mumbai,Afternoon,Weekend,Chinese,Snacks,Premium,313,No,56,2,2,No,Lazy,High,Alone,No
44822,1066,36,Chandigarh,Morning,Weekend,Desserts,Dinner,Mid-range,241,No,46,6,5,No,Happy,Medium,Family,Yes
44823,1803,22,Bangalore,Morning,Weekday,South Indian,Breakfast,Premium,672,Yes,64,13,2,Yes,Stressed,Low,Friends,No
44824,2109,44,Pune,Morning,Weekend,Desserts,Breakfast,Premium,992,No,46,9,3,Yes,Stressed,Medium,Alone,Yes
44825,4033,43,Pune,Evening,Weekday,Biryani,Lunch,Premium,757,Yes,54,9,1,No,Happy,Medium,Partner,No
44826,2838,41,Mumbai,Morning,Weekend,Desserts,Breakfast,Budget,112,No,96,8,4,No,Stressed,Medium,Partner,Yes
44827,4868,32,Delhi,Morning,Weekday,Chinese,Dinner,Premium,368,Yes,44,12,3,No,Lazy,Medium,Family,No
44828,2196,22,Mumbai,Evening,Weekday,Chinese,Snacks,Mid-range,367,No,71,4,3,No,Celebrating,High,Friends,No
44829,2226,41,Chandigarh,Evening,Weekend,Chinese,Lunch,Budget,457,Yes,87,3,5,Yes,Happy,Medium,Friends,Yes
44830,3315,24,Pune,Afternoon,Weekday,South Indian,Snacks,Premium,436,No,30,13,3,Yes,Happy,Low,Family,Yes
44831,4178,32,Pune,Afternoon,Weekend,Desserts,Dinner,Mid-range,333,No,86,14,1,Yes,Stressed,Low,Friends,No
44832,3221,34,Delhi,Evening,Weekend,North Indian,Breakfast,Premium,629,Yes,69,12,3,No,Happy,High,Friends,Yes
44833,3105,26,Delhi,Afternoon,Weekend,Chinese,Snacks,Mid-range,754,No,28,5,1,No,Stressed,High,Partner,No
44834,3435,27,Chandigarh,Afternoon,Weekend,South Indian,Dinner,Premium,258,Yes,21,13,5,Yes,Happy,Low,Partner,No
44835,2751,35,Bangalore,Afternoon,Weekday,Desserts,Snacks,Premium,690,No,40,13,5,Yes,Happy,High,Partner,Yes
44836,3405,33,Pune,Night,Weekend,North Indian,Snacks,Mid-range,750,Yes,98,2,4,No,Happy,Medium,Family,No
44837,4215,25,Bangalore,Night,Weekend,Chinese,Snacks,Mid-range,906,Yes,88,6,2,Yes,Celebrating,High,Alone,Yes
44838,1353,30,Pune,Evening,Weekday,North Indian,Snacks,Mid-range,744,No,46,4,3,No,Celebrating,High,Friends,No
44839,4385,34,Hyderabad,Morning,Weekend,Desserts,Dinner,Budget,826,No,68,14,3,No,Happy,Low,Alone,No
44840,1194,41,Delhi,Afternoon,Weekend,South Indian,Lunch,Budget,279,Yes,84,14,5,No,Celebrating,Medium,Partner,No
44841,3442,34,Delhi,Afternoon,Weekday,Desserts,Dinner,Budget,166,Yes,73,9,1,Yes,Happy,Low,Family,No
44842,4033,37,Chandigarh,Night,Weekday,Fast Food,Breakfast,Mid-range,440,No,73,5,3,Yes,Celebrating,Low,Partner,No
44843,2761,41,Pune,Afternoon,Weekend,South Indian,Dinner,Premium,572,No,27,10,4,Yes,Stressed,Low,Family,No
44844,4701,29,Bangalore,Evening,Weekday,North Indian,Breakfast,Mid-range,591,Yes,81,12,1,No,Celebrating,Medium,Partner,No
44845,3207,25,Delhi,Evening,Weekday,Chinese,Breakfast,Budget,981,No,50,12,2,Yes,Stressed,Low,Partner,No
44846,3803,43,Delhi,Night,Weekday,North Indian,Breakfast,Mid-range,470,Yes,83,8,4,Yes,Happy,Medium,Partner,No
44847,4004,36,Pune,Morning,Weekday,Desserts,Lunch,Mid-range,232,Yes,36,3,3,No,Stressed,Low,Family,No
44848,3560,19,Hyderabad,Evening,Weekend,North Indian,Snacks,Premium,672,No,41,13,4,No,Happy,Medium,Partner,Yes
44849,1097,34,Delhi,Morning,Weekend,Biryani,Breakfast,Premium,522,Yes,26,2,4,No,Celebrating,High,Friends,No
44850,2900,23,Pune,Night,Weekend,North Indian,Dinner,Budget,900,Yes,71,5,3,No,Celebrating,Medium,Alone,No
44851,4190,44,Chandigarh,Evening,Weekend,Fast Food,Snacks,Budget,617,Yes,20,4,5,Yes,Celebrating,High,Partner,No
44852,1607,28,Chandigarh,Afternoon,Weekday,Desserts,Dinner,Mid-range,713,No,34,1,5,No,Lazy,Medium,Partner,Yes
44853,4827,21,Mumbai,Evening,Weekday,Biryani,Snacks,Premium,785,No,57,14,2,No,Celebrating,High,Friends,Yes
44854,2636,43,Mumbai,Afternoon,Weekend,Fast Food,Dinner,Mid-range,270,No,36,10,2,No,Happy,Low,Family,Yes
44855,3209,24,Mumbai,Afternoon,Weekend,Fast Food,Snacks,Mid-range,634,No,70,9,5,No,Celebrating,Low,Friends,Yes
44856,2935,35,Chandigarh,Night,Weekend,Desserts,Lunch,Mid-range,696,No,82,13,5,No,Lazy,Medium,Alone,No
44857,1490,28,Bangalore,Afternoon,Weekend,Fast Food,Dinner,Premium,802,No,99,5,4,No,Happy,Medium,Alone,Yes
44858,2699,42,Bangalore,Night,Weekend,Biryani,Snacks,Budget,611,Yes,46,2,5,No,Celebrating,High,Friends,No
44859,4651,40,Delhi,Afternoon,Weekend,Chinese,Breakfast,Premium,233,No,43,1,3,Yes,Stressed,Low,Family,No
44860,4556,29,Chandigarh,Morning,Weekend,South Indian,Dinner,Budget,546,Yes,62,9,1,Yes,Lazy,High,Family,No
44861,2898,43,Bangalore,Afternoon,Weekend,South Indian,Dinner,Mid-range,579,No,44,2,2,No,Stressed,High,Friends,No
44862,4083,29,Bangalore,Afternoon,Weekday,South Indian,Dinner,Budget,736,No,55,3,5,No,Celebrating,High,Family,Yes
44863,1303,22,Chandigarh,Evening,Weekend,Chinese,Dinner,Mid-range,707,Yes,30,1,2,Yes,Happy,High,Friends,Yes
44864,3572,26,Delhi,Evening,Weekday,Fast Food,Lunch,Premium,870,Yes,60,14,5,Yes,Lazy,Medium,Family,Yes
44865,3178,35,Pune,Evening,Weekend,Chinese,Snacks,Budget,417,Yes,63,11,4,No,Lazy,Medium,Family,Yes
44866,2875,35,Mumbai,Afternoon,Weekday,Desserts,Dinner,Budget,113,Yes,69,6,3,No,Celebrating,Medium,Alone,No
44867,2952,29,Delhi,Night,Weekday,Chinese,Lunch,Premium,386,Yes,64,14,2,No,Stressed,Low,Friends,Yes
44868,4055,35,Hyderabad,Morning,Weekend,Chinese,Snacks,Mid-range,557,No,85,5,2,No,Lazy,High,Family,Yes
44869,1597,30,Mumbai,Evening,Weekday,Chinese,Breakfast,Budget,144,Yes,99,14,2,Yes,Happy,Low,Partner,No
44870,4907,29,Chandigarh,Afternoon,Weekday,Fast Food,Dinner,Premium,844,Yes,61,7,4,No,Lazy,High,Partner,Yes
44871,4305,18,Bangalore,Morning,Weekday,Biryani,Snacks,Budget,364,No,38,7,3,Yes,Celebrating,High,Alone,No
44872,4648,42,Hyderabad,Night,Weekend,Fast Food,Lunch,Budget,181,No,96,7,3,No,Celebrating,Medium,Alone,Yes
44873,1637,41,Chandigarh,Evening,Weekend,South Indian,Dinner,Premium,726,No,37,8,3,Yes,Celebrating,Low,Alone,Yes
44874,4944,35,Hyderabad,Morning,Weekday,Desserts,Lunch,Budget,115,Yes,74,10,4,No,Celebrating,Medium,Friends,No
44875,4271,43,Chandigarh,Evening,Weekend,Chinese,Snacks,Premium,193,Yes,51,7,1,Yes,Stressed,Medium,Alone,Yes
44876,2520,21,Chandigarh,Morning,Weekend,South Indian,Lunch,Budget,626,No,37,10,4,Yes,Happy,High,Friends,No
44877,2959,28,Delhi,Afternoon,Weekend,Fast Food,Snacks,Premium,410,No,98,10,3,No,Celebrating,Low,Family,Yes
44878,2870,23,Delhi,Night,Weekend,South Indian,Lunch,Budget,789,Yes,62,2,4,Yes,Happy,Low,Partner,No
44879,4959,24,Chandigarh,Evening,Weekend,Fast Food,Snacks,Budget,286,Yes,99,14,2,No,Stressed,Low,Alone,No
44880,4688,44,Chandigarh,Morning,Weekday,North Indian,Breakfast,Mid-range,374,Yes,42,11,5,Yes,Lazy,Medium,Family,No
44881,2314,20,Bangalore,Night,Weekend,Fast Food,Dinner,Mid-range,282,No,38,11,1,Yes,Lazy,Medium,Family,No
44882,3296,31,Mumbai,Night,Weekend,Desserts,Snacks,Premium,536,No,90,6,1,Yes,Celebrating,Low,Partner,No
44883,4799,39,Chandigarh,Evening,Weekend,Chinese,Snacks,Mid-range,765,Yes,57,7,4,No,Happy,Medium,Alone,Yes
44884,2966,32,Mumbai,Morning,Weekend,South Indian,Dinner,Premium,813,No,74,3,4,No,Celebrating,Low,Friends,No
44885,1511,28,Mumbai,Afternoon,Weekend,South Indian,Lunch,Budget,651,Yes,51,5,3,Yes,Happy,High,Alone,No
44886,1518,21,Chandigarh,Night,Weekend,Chinese,Snacks,Budget,757,Yes,89,9,2,No,Celebrating,Medium,Partner,Yes
44887,1388,20,Delhi,Night,Weekend,Fast Food,Dinner,Mid-range,605,Yes,33,8,3,No,Happy,Low,Alone,Yes
44888,1921,29,Bangalore,Night,Weekend,North Indian,Dinner,Budget,826,No,39,9,3,No,Celebrating,Low,Alone,Yes
44889,2709,43,Mumbai,Evening,Weekend,Biryani,Lunch,Premium,765,Yes,77,12,2,No,Celebrating,Medium,Alone,No
44890,4473,24,Bangalore,Morning,Weekday,Chinese,Lunch,Mid-range,739,No,82,1,2,No,Stressed,Low,Friends,No
44891,3199,32,Bangalore,Afternoon,Weekend,Fast Food,Dinner,Premium,407,No,37,6,2,No,Lazy,High,Partner,Yes
44892,1870,44,Pune,Evening,Weekday,North Indian,Breakfast,Premium,741,Yes,95,9,2,Yes,Happy,Medium,Family,No
44893,2207,20,Pune,Morning,Weekend,North Indian,Breakfast,Premium,744,No,26,13,4,No,Happy,Low,Friends,Yes
44894,1447,44,Mumbai,Morning,Weekday,Desserts,Dinner,Budget,133,Yes,56,8,1,No,Celebrating,Low,Friends,No
44895,3156,40,Bangalore,Afternoon,Weekday,Desserts,Snacks,Premium,443,No,39,13,1,Yes,Celebrating,Medium,Friends,No
44896,1354,21,Pune,Afternoon,Weekend,Fast Food,Snacks,Budget,175,No,69,2,2,No,Lazy,High,Family,Yes
44897,1025,37,Mumbai,Afternoon,Weekend,North Indian,Lunch,Premium,475,No,96,4,5,Yes,Celebrating,Medium,Alone,Yes
44898,3254,30,Delhi,Afternoon,Weekend,South Indian,Snacks,Budget,161,Yes,39,4,3,No,Celebrating,High,Alone,No
44899,2249,33,Delhi,Evening,Weekend,Biryani,Lunch,Mid-range,221,No,30,1,3,No,Happy,Medium,Family,Yes
44900,1835,35,Chandigarh,Evening,Weekend,Desserts,Lunch,Premium,662,No,68,14,4,Yes,Celebrating,Low,Family,No
44901,1791,32,Chandigarh,Night,Weekend,Chinese,Snacks,Budget,220,Yes,84,10,2,No,Celebrating,Low,Friends,No
44902,2348,44,Hyderabad,Evening,Weekend,Biryani,Snacks,Mid-range,902,No,26,9,3,No,Happy,Medium,Friends,Yes
44903,4137,41,Hyderabad,Morning,Weekend,Fast Food,Snacks,Mid-range,747,Yes,99,8,5,Yes,Lazy,Medium,Friends,No
44904,1496,38,Mumbai,Evening,Weekday,Desserts,Lunch,Premium,143,Yes,61,8,1,Yes,Lazy,Medium,Partner,Yes
44905,2110,26,Chandigarh,Morning,Weekend,North Indian,Breakfast,Budget,227,No,49,6,3,No,Lazy,Medium,Family,Yes
44906,3145,35,Delhi,Afternoon,Weekend,North Indian,Breakfast,Budget,498,Yes,35,1,1,Yes,Celebrating,Low,Friends,Yes
44907,1456,41,Chandigarh,Night,Weekend,North Indian,Breakfast,Premium,328,Yes,63,9,2,No,Stressed,Medium,Family,Yes
44908,3085,27,Delhi,Afternoon,Weekend,Chinese,Lunch,Mid-range,648,No,58,6,4,No,Stressed,Low,Partner,Yes
44909,2317,32,Hyderabad,Evening,Weekday,Desserts,Breakfast,Mid-range,855,Yes,96,9,2,Yes,Happy,Low,Partner,Yes
44910,4592,31,Mumbai,Morning,Weekday,South Indian,Breakfast,Premium,350,No,58,13,3,Yes,Stressed,High,Friends,No
44911,1437,36,Delhi,Morning,Weekend,Biryani,Snacks,Premium,886,Yes,35,8,3,No,Lazy,Medium,Alone,No
44912,1621,38,Bangalore,Night,Weekend,North Indian,Dinner,Budget,284,No,61,13,4,No,Lazy,Medium,Partner,Yes
44913,3934,44,Mumbai,Night,Weekday,Biryani,Dinner,Mid-range,855,No,64,3,5,No,Lazy,Medium,Partner,No
44914,4370,28,Chandigarh,Night,Weekday,Biryani,Dinner,Mid-range,640,No,83,9,1,Yes,Happy,Medium,Partner,Yes
44915,4536,32,Delhi,Evening,Weekday,Fast Food,Lunch,Budget,687,No,41,1,1,No,Stressed,Low,Friends,Yes
44916,4854,38,Hyderabad,Morning,Weekday,Chinese,Breakfast,Budget,597,Yes,65,14,3,No,Lazy,High,Friends,No
44917,4013,36,Pune,Morning,Weekday,South Indian,Lunch,Budget,995,No,25,11,5,No,Happy,Low,Partner,No
44918,2426,35,Delhi,Morning,Weekend,Desserts,Snacks,Premium,327,Yes,52,7,5,No,Celebrating,Medium,Alone,Yes
44919,1843,33,Mumbai,Night,Weekend,Fast Food,Snacks,Mid-range,848,No,49,1,4,Yes,Happy,Low,Partner,No
44920,1634,31,Bangalore,Night,Weekday,Biryani,Breakfast,Budget,261,Yes,28,11,4,No,Lazy,Low,Partner,No
44921,3112,37,Delhi,Afternoon,Weekend,North Indian,Breakfast,Mid-range,854,Yes,86,9,1,No,Stressed,High,Friends,No
44922,2151,44,Mumbai,Night,Weekday,North Indian,Lunch,Premium,674,Yes,97,1,4,No,Stressed,High,Family,No
44923,1352,23,Delhi,Evening,Weekend,South Indian,Lunch,Premium,246,No,56,2,2,Yes,Stressed,Low,Family,No
44924,4319,26,Mumbai,Evening,Weekday,Desserts,Breakfast,Premium,119,Yes,60,9,5,Yes,Celebrating,Medium,Partner,Yes
44925,2729,25,Bangalore,Evening,Weekend,Fast Food,Snacks,Mid-range,139,No,53,8,1,No,Stressed,High,Family,Yes
44926,3446,23,Bangalore,Afternoon,Weekday,North Indian,Dinner,Budget,209,No,85,1,2,No,Happy,Low,Partner,No
44927,3522,23,Pune,Evening,Weekend,Chinese,Dinner,Premium,975,Yes,82,9,2,No,Celebrating,High,Family,Yes
44928,3029,21,Mumbai,Afternoon,Weekday,North Indian,Snacks,Mid-range,377,No,23,10,5,No,Lazy,Medium,Alone,Yes
44929,4000,28,Pune,Night,Weekend,Chinese,Snacks,Mid-range,965,No,70,12,4,Yes,Celebrating,High,Friends,No
